Geneid,Chr,Start,End,Strand,Length,ML-sta1_CTTGTA_L005/bowtie1_mapping_ref/ML-sta1_CTTGTA_L005.sorted.bam,ML-exp1_GCCAAT_L006/bowtie1_mapping_ref/ML-exp1_GCCAAT_L006.sorted.bam
gene0,CU928145.2,203,268,+,66,444,506
gene1,CU928145.2,349,2811,+,2463,17,78
gene2,CU928145.2,2813,3745,+,933,10,32
gene3,CU928145.2,3746,5032,+,1287,16,50
gene4,CU928145.2,5246,5542,+,297,5,31
gene5,CU928145.2,5695,6471,-,777,11,115
gene6,CU928145.2,6541,7971,-,1431,16,158
gene7,CU928145.2,8250,9203,+,954,98,1178
gene8,CU928145.2,9318,9905,+,588,27,93
gene9,CU928145.2,9940,10506,-,567,12,52
gene10,CU928145.2,10655,11368,-,714,1,9
gene11,CU928145.2,11394,11798,-,405,1,2
gene12,CU928145.2,12175,14091,+,1917,620,1988
gene13,CU928145.2,14092,14180,+,89,4,10
gene14,CU928145.2,14180,15310,+,1131,92,272
gene15,CU928145.2,15615,15669,+,55,20,297
gene16,CU928145.2,16152,17318,+,1167,410,230
gene17,CU928145.2,17378,18283,+,906,89,142
gene18,CU928145.2,18322,19281,-,960,7,52
gene19,CU928145.2,19294,20463,-,1170,5,9
gene20,CU928145.2,20872,21993,-,1122,0,16
gene21,CU928145.2,22776,23039,-,264,173,11786
gene22,CU928145.2,23142,23360,+,219,2,9
gene23,CU928145.2,23368,24309,+,942,31,241
gene24,CU928145.2,24352,27168,+,2817,62,399
gene25,CU928145.2,27168,27662,+,495,18,70
gene26,CU928145.2,27750,28199,+,450,5,46
gene27,CU928145.2,28201,29151,+,951,21,58
gene28,CU928145.2,29217,30131,+,915,6,34
gene29,CU928145.2,30298,31119,+,822,58,70
gene30,CU928145.2,31575,32723,+,1149,0,9
gene31,CU928145.2,32741,35962,+,3222,18,16
gene32,CU928145.2,35970,36188,-,219,0,1
gene33,CU928145.2,36223,36618,+,396,1,264
gene34,CU928145.2,36704,37294,-,591,5,64
gene35,CU928145.2,37300,38193,-,894,2,8
gene36,CU928145.2,38194,39762,-,1569,3,31
gene37,CU928145.2,39821,41038,-,1218,0,4
gene38,CU928145.2,41167,42309,-,1143,4,183
